SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
138588,12,3,3,25,25,73.5384615384616,78.1621621621622,1,,0,156,138,88.46,,,0
138611,12,0,0,0,0,66,59.2631578947368,1,,0,162,155,95.68,,,0
138613,12,3,5,25,41.6666666666667,67.027027027027,65.469387755102,1,,0,155,122,78.71,,,0
138778,37,17,19,45.945945945946,51.3513513513514,70.4,76.5405405405405,1,1,1,306,282,92.16,Others,IA,1
138955,12,1,1,8.33333333333333,8.33333333333333,93.7142857142857,87.1578947368421,1,,0,163,152,93.25,,,0
138956,12,1,1,8.33333333333333,8.33333333333333,78,82.7368421052632,1,,0,165,129,78.18,,,0
139175,37,18,19,48.6486486486487,51.3513513513514,74,69.8378378378378,1,1,1,336,294,87.5,Others,IA,1
139175,37,18,19,48.6486486486487,51.3513513513514,74,69.8378378378378,1,1,1,336,294,87.5,Initiated By School ,Unreachable ,1
139194,12,1,3,8.33333333333333,25,90.88,91.027027027027,1,,0,164,156,95.12,,,0
139196,12,1,1,8.33333333333333,8.33333333333333,72.32,76.4324324324324,1,,0,168,161,95.83,,,0
139423,37,12,19,32.4324324324324,51.3513513513514,82.24,81.6216216216216,1,1,1,306,282,92.16,Others,IA,1
139752,12,1,1,8.33333333333333,8.33333333333333,61.1428571428572,52.5263157894737,1,,0,162,125,77.16,,,0
139860,12,0,0,0,0,77.7142857142857,68.421052631579,1,,0,165,139,84.24,,,0
140295,12,1,0,8.33333333333333,0,76,76.2105263157895,1,,0,158,121,76.58,,,0
140296,12,1,0,8.33333333333333,0,62.5,65.8,1,,0,164,119,72.56,,,0
140480,37,15,16,40.5405405405405,43.2432432432432,75.7142857142857,74.2105263157895,1,1,1,324,252,77.78,Others,IA,1
140724,37,13,14,35.1351351351351,37.8378378378378,54.32,56.4827586206897,1,1,1,338,224,66.27,Others,IA,1
140724,37,13,14,35.1351351351351,37.8378378378378,54.32,56.4827586206897,1,1,1,338,224,66.27,Initiated By School ,Unreachable ,1
